,Review,Rating
70,"[[('Aplicativo', 'ADJ'), ('excelente', 'ADJ'), ('aulas', 'NOUN'), ('vivo', 'ADJ'), ('professores', 'NOUN'), ('maravilhosos', 'NOUN'), ('💖😊', 'NOUN'), ('amandoooo', 'NOUN')]]",5
71,"[[('consigo', 'VERB'), ('entrar', 'VERB'), ('conta', 'VERB')]]",1
72,"[[('consigo', 'VERB'), ('acessar', 'VERB'), ('matérias', 'NOUN'), ('vídeos', 'NOUN'), ('baixados', 'VERB')]]",1
73,"[[('funciona', 'VERB')], [('aulas', 'NOUN'), ('rodam', 'VERB'), ('dá', 'VERB'), ('erro', 'NOUN')], [('abre', 'VERB'), ('aula', 'NOUN'), ('fica', 'VERB'), ('travando', 'VERB'), ('Olha', 'VERB'), ('internet', 'NOUN'), ('é', 'VERB'), ('10Mb', 'NOUN'), ('celular', 'ADJ'), ('Moto', 'NOUN'), ('G5', 'NOUN')]]",1
74,"[[('é', 'VERB'), ('bom', 'ADJ'), ('lives', 'NOUN'), ('travam', 'VERB'), ('DEMAIS', 'NOUN')]]",3
75,"[[('é', 'VERB'), ('bom', 'ADJ'), ('inferior', 'ADJ'), ('comparado', 'VERB'), ('site', 'NOUN')], [('plataforma', 'NOUN'), ('descomplica', 'NOUN'), ('atendimento', 'NOUN'), ('atencioso', 'ADJ'), ('pecar', 'VERB'), ('vezes', 'NOUN')]]",4
76,"[[('desorganizado', 'VERB'), ('bugs', 'NOUN'), ('site', 'NOUN'), ('App', 'NOUN')]]",3
77,"[[('Awesome', 'NOUN')]]",5
78,"[[('Ótima', 'ADJ'), ('equipe', 'NOUN'), ('vcs', 'NOUN')], [('deixa', 'VERB'), ('desejar', 'VERB'), ('dá', 'VERB'), ('mandar', 'VERB'), ('redação', 'NOUN'), ('direto', 'ADJ'), ('travado', 'VERB')]]",4
79,"[[('App', 'NOUN'), ('perfeito', 'ADJ')], [('Aulas', 'NOUN'), ('dinâmicas', 'NOUN'), ('equipe', 'NOUN'), ('professores', 'NOUN'), ('nota', 'NOUN')], [('Recomendo.❤', 'NOUN')]]",5
80,"[[('I', 'ADJ'), ('love', 'NOUN'), ('this', 'NOUN')], [('Now', 'NOUN'), ('I', 'NOUN'), ('can', 'NOUN'), ('study', 'NOUN'), ('to', 'NOUN'), ('get', 'NOUN'), ('my', 'NOUN'), ('biggest', 'NOUN'), ('dream', 'NOUN')]]",4
81,"[[('Poderiam', 'VERB'), ('responder', 'VERB'), ('rápido', 'ADJ'), ('WhatsApp', 'NOUN')]]",4
82,"[[('Amei', 'NOUN'), ('entrei', 'VERB'), ('ensino', 'NOUN'), ('médio', 'ADJ'), ('quis', 'VERB'), ('assinar', 'VERB'), ('consegui', 'VERB'), ('convencer', 'VERB'), ('mãe', 'NOUN'), ('😍❤', 'NOUN')]]",5
83,"[[('Comprei', 'VERB'), ('plano', 'NOUN'), ('medicina', 'NOUN'), ('2017', 'NOUN'), ('continuo', 'VERB'), ('pagando', 'VERB'), ('2018', 'NOUN'), ('recebi', 'VERB'), ('atualização', 'NOUN')]]",3
84,"[[('I', 'ADJ'), ('think', 'NOUN'), ('that', 'NOUN'), ('is', 'NOUN'), ('wonderful', 'NOUN'), ('😍', 'NOUN')]]",5
